S,LIBRO,Partida,NOMBRES ,APELLIDOS,PARROQUIA DE BAUTIZO,EDAD,PADRE ,MADRE,P/M,PADRINO,MADRINA,DIA,MES,AÑO
M,3,83974,MARIA,FLORES,SAN JOSE - ARGENTINA,30,FERNANDO CRUZ,SOFIA RAMIREZ,M,ANTONIO MAMANI,GLORIA CRUZ,5,1,1995
M,2,81064,LUIS,CRUZ,SAN ANDRES DE CARACOLLO,4,JORGE FLORES,LAURA QUISPE,P,RAUL RAMIREZ,MARTHA CRUZ,18,5,2021
M,3,89619,PEDRO,RAMIREZ,SAN CLEMENTE - POTOSI,32,JORGE MAMANI,VERONICA RAMIREZ,P/M,ANTONIO MAMANI,GLORIA CRUZ,23,12,1993
F,3,86670,JOSE,FLORES,SAN SEBASTIAN DE ZEPITA,2,MIGUEL QUISPE,TERESA RAMIREZ,M,ANTONIO MAMANI,MARTHA CRUZ,10,7,2023
M,3,85333,ELENA,PEREZ,SAN PIO X,21,FERNANDO MAMANI,SOFIA PEREZ,M,EDUARDO MAMANI,MARTHA CRUZ,4,11,2004
M,3,87562,PEDRO,CRUZ,NUESTRA SEÑORA DE LA ASUNCION - LA PAZ,21,OSCAR QUISPE,CARMEN PEREZ,P,RAUL FLORES,SANDRA RAMIREZ,1,2,2004
M,3,87744,ANA,MAMANI,SANTIAGO APOSTOL DE HUACHACALLA,3,JORGE QUISPE,VERONICA QUISPE,M,RAUL RAMIREZ,SANDRA CRUZ,15,8,2022
M,2,80325,CARLOS,PEREZ,INMACULADA CONCEPCION DE UYUNI,34,MIGUEL MAMANI,SOFIA RAMIREZ,P/M,VICTOR RAMIREZ,GLORIA RAMIREZ,24,4,1991
M,2,83167,JOSE,MENDOZA,NUESTRA SEÑORA DE GUADALUPE,15,MIGUEL MAMANI,SOFIA PEREZ,M,VICTOR RAMIREZ,PAOLA CRUZ,5,5,2010
M,2,85159,LUIS,MAMANI,SAN PIO X,24,MIGUEL QUISPE,TERESA QUISPE,M,EDUARDO RAMIREZ,PAOLA RAMIREZ,13,9,2001
F,2,84806,MARIA,FLORES,SAN CLEMENTE - POTOSI,7,JORGE QUISPE,TERESA QUISPE,P/M,VICTOR CRUZ,SANDRA MAMANI,1,10,2018
F,3,82600,JUAN,CRUZ,NUESTRA SEÑORA DE FATIMA - HUANUNI,23,FERNANDO FLORES,LAURA MAMANI,P/M,VICTOR FLORES,GLORIA MAMANI,25,6,2002
F,3,86072,LUIS,QUISPE,SAN ANDRES DE CARACOLLO,18,FERNANDO CRUZ,VERONICA PEREZ,M,VICTOR RAMIREZ,GLORIA CRUZ,13,5,2007
M,3,80153,ANA,CRUZ,SAN PEDRO APOSTOL,14,RICARDO MAMANI,CARMEN QUISPE,P,ANTONIO RAMIREZ,MARTHA MAMANI,5,8,2011
M,2,87052,ELENA,MENDOZA,SAN JUAN BAUTISTA DE POCOATA,1,OSCAR FLORES,VERONICA PEREZ,P,EDUARDO CRUZ,GLORIA CRUZ,28,12,2024
M,3,85509,ANA,MAMANI,SAN MARTIN PORRES,33,FERNANDO MAMANI,TERESA QUISPE,M,EDUARDO CRUZ,SANDRA FLORES,17,4,1992
F,3,83132,MARIA,RAMIREZ,SAN JOSE - ARGENTINA,15,JORGE CRUZ,SOFIA PEREZ,P/M,RAUL FLORES,PAOLA MAMANI,14,5,2010
M,3,82322,LUIS,MAMANI,"SEÑOR DE LA PACIENCIA ""LA ROTONDA""",5,FERNANDO MAMANI,SOFIA QUISPE,M,VICTOR CRUZ,MARTHA MAMANI,15,6,2020
F,3,85651,ROSA,MAMANI,SAN PEDRO APOSTOL,23,MIGUEL CRUZ,CARMEN MAMANI,P/M,RAUL MAMANI,PAOLA RAMIREZ,28,3,2002
F,2,84948,ANA,MAMANI,SAN JUAN BOSCO - LA PAZ,5,OSCAR CRUZ,CARMEN QUISPE,P/M,RAUL FLORES,GLORIA RAMIREZ,12,8,2020
M,2,80691,CARLOS,CRUZ,NUESTRA SEÑORA DE GUADALUPE,29,OSCAR FLORES,TERESA RAMIREZ,P/M,VICTOR MAMANI,GLORIA MAMANI,18,4,1996
F,3,89940,ROSA,QUISPE,NUESTRA SEÑORA DE LA ASUNCION - LA PAZ,2,OSCAR CRUZ,TERESA PEREZ,P/M,ANTONIO CRUZ,MARTHA MAMANI,17,5,2023
M,3,85145,JOSE,GUTIERREZ,SAN PEDRO APOSTOL,6,RICARDO CRUZ,LAURA QUISPE,P/M,VICTOR FLORES,GLORIA RAMIREZ,28,9,2019
F,3,82394,JOSE,GUTIERREZ,SAN PIO X,28,OSCAR MAMANI,SOFIA PEREZ,P,ANTONIO MAMANI,SANDRA RAMIREZ,7,2,1997
F,2,88649,JOSE,MAMANI,"NUESTRA SEÑORA DE LA ASUNCION ""LA CATEDRAL""",18,JORGE QUISPE,TERESA RAMIREZ,P/M,VICTOR CRUZ,SANDRA CRUZ,27,4,2007
F,2,85368,PEDRO,MAMANI,SAN PEDRO APOSTOL,16,JORGE MAMANI,VERONICA PEREZ,P/M,VICTOR FLORES,MARTHA MAMANI,24,2,2009
M,3,82676,JOSE,QUISPE,NUESTRA SEÑORA DE COPACABANA - EUCALIPTUS,34,MIGUEL MAMANI,VERONICA PEREZ,P,EDUARDO MAMANI,MARTHA FLORES,28,1,1991
F,3,88175,PEDRO,RAMIREZ,ESPIRITU SANTO - CHAYANTA,8,OSCAR CRUZ,SOFIA PEREZ,P,RAUL FLORES,GLORIA MAMANI,18,5,2017
M,2,82233,MARIA,CRUZ,NUESTRA SEÑORA DE GUADALUPE,16,FERNANDO QUISPE,LAURA MAMANI,P,EDUARDO RAMIREZ,GLORIA FLORES,3,10,2009
F,2,82712,MARTA,RAMIREZ,SAN SEBASTIAN DE ZEPITA,29,RICARDO CRUZ,TERESA QUISPE,M,RAUL CRUZ,MARTHA RAMIREZ,24,9,1996
M,3,82212,MARTA,RAMIREZ,SAN PIO X,6,JORGE MAMANI,TERESA PEREZ,P,RAUL FLORES,SANDRA FLORES,8,10,2019
F,3,85739,ANA,FLORES,GRAN PODER DE PAZÑA,7,OSCAR FLORES,CARMEN QUISPE,P/M,EDUARDO RAMIREZ,MARTHA MAMANI,22,8,2018
M,2,88345,ROSA,PEREZ,SAN JUAN BOSCO - LA PAZ,12,MIGUEL CRUZ,CARMEN RAMIREZ,P,VICTOR RAMIREZ,SANDRA FLORES,20,7,2013
F,2,82510,PEDRO,MAMANI,GRAN PODER DE PAZÑA,32,MIGUEL MAMANI,CARMEN QUISPE,P,VICTOR RAMIREZ,PAOLA CRUZ,7,10,1993
M,2,84228,MARIA,RAMIREZ,NUESTRA SEÑORA DE COPACABANA - EUCALIPTUS,14,OSCAR QUISPE,TERESA MAMANI,P,RAUL MAMANI,GLORIA CRUZ,12,5,2011
M,2,89431,JOSE,GUTIERREZ,SANTIAGO APOSTOL DE HUACHACALLA,14,MIGUEL QUISPE,TERESA PEREZ,P/M,VICTOR MAMANI,SANDRA MAMANI,4,8,2011
F,3,81566,JOSE,RAMIREZ,SAN PEDRO APOSTOL,34,OSCAR QUISPE,CARMEN PEREZ,P/M,ANTONIO RAMIREZ,GLORIA CRUZ,6,5,1991
M,2,80477,ANA,MENDOZA,NUESTRA SEÑORA DE COPACABANA - EUCALIPTUS,11,JORGE MAMANI,SOFIA MAMANI,M,VICTOR MAMANI,SANDRA MAMANI,8,3,2014
F,3,85282,JOSE,MAMANI,"SEÑOR DE LA PACIENCIA ""LA ROTONDA""",24,OSCAR MAMANI,LAURA RAMIREZ,M,EDUARDO FLORES,GLORIA MAMANI,27,8,2001
F,2,81122,JUAN,QUISPE,SAN SEBASTIAN DE ZEPITA,12,FERNANDO CRUZ,CARMEN MAMANI,P,EDUARDO RAMIREZ,MARTHA CRUZ,21,6,2013
M,2,82458,LUIS,GUTIERREZ,VIRGEN DE LA ASUNCION - SANTUARIO DE QUILLACAS,25,RICARDO QUISPE,LAURA MAMANI,M,VICTOR MAMANI,GLORIA RAMIREZ,3,2,2000
M,3,84242,MARIA,RAMIREZ,SAN JUAN BOSCO - LA PAZ,25,OSCAR MAMANI,TERESA RAMIREZ,P/M,EDUARDO RAMIREZ,PAOLA FLORES,8,5,2000
F,2,87110,LUIS,RAMIREZ,NUESTRA SEÑORA DE COPACABANA - EUCALIPTUS,5,OSCAR QUISPE,LAURA PEREZ,P/M,ANTONIO RAMIREZ,SANDRA FLORES,15,6,2020
M,2,82254,JUAN,QUISPE,NUESTRA SEÑORA DE LA ASUNCION - LA PAZ,26,MIGUEL FLORES,LAURA QUISPE,P/M,EDUARDO FLORES,GLORIA FLORES,9,2,1999
M,3,87945,MARTA,MENDOZA,SAN JUAN BOSCO - LA PAZ,14,OSCAR QUISPE,TERESA PEREZ,M,RAUL RAMIREZ,MARTHA CRUZ,2,6,2011
F,3,83144,JOSE,FLORES,NUESTRA SEÑORA DE LA ASUNCION - LA PAZ,11,JORGE QUISPE,LAURA RAMIREZ,M,ANTONIO MAMANI,MARTHA FLORES,22,6,2014
M,3,80729,LUIS,RAMIREZ,"NUESTRA SEÑORA DE LA ASUNCION ""LA CATEDRAL""",8,JORGE CRUZ,LAURA RAMIREZ,M,EDUARDO MAMANI,SANDRA FLORES,20,6,2017
F,2,83665,JUAN,GUTIERREZ,SAN PEDRO APOSTOL,11,MIGUEL CRUZ,SOFIA PEREZ,P/M,EDUARDO CRUZ,PAOLA CRUZ,4,10,2014
F,2,89962,MARIA,RAMIREZ,NUESTRA SEÑORA DE LA ASUNCION - LA PAZ,16,RICARDO CRUZ,LAURA PEREZ,P,EDUARDO FLORES,MARTHA CRUZ,13,3,2009
F,2,88059,ROSA,PEREZ,"NUESTRA SEÑORA DE LA ASUNCION ""LA CATEDRAL""",17,MIGUEL QUISPE,LAURA QUISPE,P,RAUL FLORES,SANDRA CRUZ,20,3,2008
M,2,87783,MARTA,GUTIERREZ,SAN ANDRES DE CARACOLLO,3,MIGUEL CRUZ,LAURA RAMIREZ,P,VICTOR MAMANI,PAOLA MAMANI,28,12,2022
M,3,81314,JUAN,CRUZ,GRAN PODER DE PAZÑA,12,MIGUEL MAMANI,CARMEN RAMIREZ,M,RAUL MAMANI,MARTHA MAMANI,29,5,2013
M,2,84349,MARTA,MENDOZA,"NUESTRA SEÑORA DE LA ASUNCION ""LA CATEDRAL""",16,FERNANDO MAMANI,SOFIA PEREZ,P,EDUARDO RAMIREZ,PAOLA CRUZ,13,10,2009
M,2,84870,LUIS,RAMIREZ,NUESTRA SEÑORA DE GUADALUPE,11,RICARDO CRUZ,SOFIA RAMIREZ,M,EDUARDO MAMANI,PAOLA CRUZ,12,6,2014
F,3,86524,ELENA,PEREZ,SAN ANDRES DE CARACOLLO,25,OSCAR QUISPE,LAURA QUISPE,P,EDUARDO CRUZ,PAOLA RAMIREZ,30,5,2000
